# Number of Epochs,Number of Nodes,Number of Aggregators,Number of Disseminators,Standard Deviation (SUM),Accuracy (SUM),Standard Deviation (AVG),Accuracy (AVG),Standard Deviation (MIN),Accuracy (MIN),Standard Deviation (MAX),Accuracy (MAX),Standard Deviation (COUNT),Accuracy (COUNT),Standard Deviation (SUMSQR),Accuracy (SUMSQR),Standard Deviation (STDDEV),Accuracy (STDDEV),Number of Updates,Number of Exploitations,Number of Duplicates,Number of Inconsistencies,Number of PUSH Messages,Num of PULL Messages,Number of Messages
427,400,20,400,0.0778,-2.356,0.0039,0.9916,0.1388,0.9332,0,1,0,1,0.0819,-1.8558,0.0151,0.9884,12.0,0.0,0.0,0.0,12.0,12.0,24.0
428,400,20,400,0.0777,-2.0223,0.0039,0.9924,0.1388,0.9332,0,1,0,1,0.0807,-1.5642,0.0156,0.9871,13.0,0.0,0.0,0.0,13.0,13.0,26.0
429,400,20,400,0.0699,-1.7206,0.0035,0.9932,0.1388,0.9332,0,1,0,1,0.0704,-1.2849,0.0152,0.986,11.0,0.0,0.0,0.0,11.0,11.0,22.0
430,400,20,400,0.0638,-1.3916,0.0032,0.994,0.1388,0.9332,0,1,0,1,0.0642,-1.0064,0.0146,0.9845,13.0,0.0,0.0,0.0,13.0,13.0,26.0
431,400,20,400,0.0647,-1.2817,0.0032,0.9943,0.1388,0.9332,0,1,0,1,0.0662,-0.9138,0.0144,0.984,5.0,0.0,0.0,0.0,5.0,5.0,10.0
432,400,20,400,0.0585,-1.1361,0.0029,0.9947,0.1388,0.9332,0,1,0,1,0.059,-0.7933,0.0135,0.9833,6.0,0.0,0.0,0.0,6.0,6.0,12.0
433,400,20,400,0.054,-0.8984,0.0027,0.9953,0.1388,0.9332,0,1,0,1,0.0551,-0.5806,0.0126,0.9824,9.0,0.0,0.0,0.0,9.0,9.0,18.0
434,400,20,400,0.0444,-0.6777,0.0022,0.9958,0.1388,0.9332,0,1,0,1,0.0469,-0.4034,0.0101,0.9813,9.0,0.0,0.0,0.0,9.0,9.0,18.0
435,400,20,400,0.0473,-0.5611,0.0024,0.9961,0.1388,0.9332,0,1,0,1,0.0498,-0.2911,0.0107,0.9809,4.0,0.0,0.0,0.0,5.0,4.0,9.0
436,400,20,400,0.0424,-0.3879,0.0021,0.9965,0.1388,0.9332,0,1,0,1,0.0412,-0.1335,0.0106,0.9802,6.0,0.0,0.0,0.0,5.0,6.0,11.0
437,400,20,400,0.0422,-0.2601,0.0021,0.9968,0.1388,0.9332,0,1,0,1,0.041,-0.0243,0.0106,0.9796,5.0,0.0,0.0,0.0,5.0,5.0,10.0
438,400,20,400,0.0449,-0.1216,0.0022,0.9972,0.1388,0.9332,0,1,0,1,0.0436,0.0784,0.0112,0.9788,7.0,0.0,0.0,0.0,7.0,7.0,14.0
439,400,20,400,0.0371,-0.0163,0.0019,0.9975,0.1388,0.9332,0,1,0,1,0.0374,0.1554,0.0091,0.9782,5.0,0.0,0.0,0.0,5.0,5.0,10.0
440,400,20,400,0.0352,0.0389,0.0018,0.9976,0.1388,0.9332,0,1,0,1,0.0361,0.2021,0.0085,0.9779,2.0,0.0,0.0,0.0,2.0,2.0,4.0
441,400,20,400,0.032,0.1477,0.0016,0.9979,0.1388,0.9332,0,1,0,1,0.0323,0.2894,0.008,0.9773,4.0,0.0,0.0,0.0,4.0,4.0,8.0
442,400,20,400,0.0309,0.1797,0.0015,0.9979,0.1388,0.9332,0,1,0,1,0.0319,0.3075,0.0075,0.9771,2.0,0.0,0.0,0.0,2.0,2.0,4.0
443,400,20,400,0.0309,0.1797,0.0015,0.9979,0.1388,0.9332,0,1,0,1,0.0319,0.3075,0.0075,0.9771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,400,20,400,0.0315,0.3271,0.0016,0.9983,0.1388,0.9332,0,1,0,1,0.0324,0.4329,0.0076,0.9764,5.0,0.0,1.0,0.0,6.0,6.0,12.0
445,400,20,400,0.0283,0.4252,0.0014,0.9986,0.1388,0.9332,0,1,0,1,0.0282,0.5219,0.0071,0.976,4.0,0.0,1.0,0.0,5.0,5.0,10.0
446,400,20,400,0.0266,0.5437,0.0013,0.9989,0.1388,0.9332,0,1,0,1,0.0272,0.6107,0.0064,0.9753,5.0,0.0,1.0,0.0,6.0,6.0,12.0
447,400,20,400,0.0253,0.6099,0.0013,0.999,0.1388,0.9332,0,1,0,1,0.0261,0.6632,0.006,0.9749,3.0,0.0,0.0,0.0,4.0,3.0,7.0
448,400,20,400,0.0233,0.677,0.0012,0.9992,0.1388,0.9332,0,1,0,1,0.0241,0.7266,0.0056,0.9746,3.0,0.0,0.0,0.0,2.0,3.0,5.0
449,400,20,400,0.0236,0.6995,0.0012,0.9992,0.1388,0.9332,0,1,0,1,0.0242,0.75,0.0057,0.9746,1.0,0.0,0.0,0.0,1.0,1.0,2.0
450,400,20,400,0.0221,0.7606,0.0011,0.9994,0.1388,0.9332,0,1,0,1,0.0221,0.8077,0.0055,0.9743,2.0,0.0,0.0,0.0,2.0,2.0,4.0
451,400,20,400,0.0221,0.7606,0.0011,0.9994,0.1388,0.9332,0,1,0,1,0.0221,0.8077,0.0055,0.9743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,400,20,400,0.0221,0.7606,0.0011,0.9994,0.1388,0.9332,0,1,0,1,0.0221,0.8077,0.0055,0.9743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,400,20,400,0.0156,0.8329,0.0008,0.9996,0.1388,0.9332,0,1,0,1,0.015,0.8678,0.0041,0.974,3.0,0.0,0.0,0.0,3.0,3.0,6.0
454,400,20,400,0.0156,0.8329,0.0008,0.9996,0.1388,0.9332,0,1,0,1,0.015,0.8678,0.0041,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,400,20,400,0.0148,0.8599,0.0007,0.9996,0.1388,0.9332,0,1,0,1,0.0143,0.8892,0.0039,0.9738,1.0,0.0,0.0,0.0,1.0,1.0,2.0
456,400,20,400,0.0148,0.8599,0.0007,0.9996,0.1388,0.9332,0,1,0,1,0.0143,0.8892,0.0039,0.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,400,20,400,0.0148,0.8599,0.0007,0.9996,0.1388,0.9332,0,1,0,1,0.0143,0.8892,0.0039,0.9738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,400,20,400,0.0113,0.8987,0.0006,0.9997,0.1388,0.9332,0,1,0,1,0.0115,0.9175,0.0028,0.9736,2.0,0.0,0.0,0.0,2.0,2.0,4.0
459,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,1.0,0.0,0.0,0.0,1.0,1.0,2.0
460,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,400,20,400,0.0092,0.9278,0.0005,0.9998,0.1388,0.9332,0,1,0,1,0.009,0.9428,0.0024,0.9734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,400,20,400,0.0067,0.9657,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0062,0.9739,0.0018,0.9732,2.0,0.0,0.0,0.0,2.0,2.0,4.0
469,400,20,400,0.0067,0.9657,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0062,0.9739,0.0018,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,400,20,400,0.0067,0.9657,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0062,0.9739,0.0018,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,400,20,400,0.0067,0.9657,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0062,0.9739,0.0018,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,1.0,0.0,0.0,0.0,1.0,1.0,2.0
473,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,400,20,400,0.006,0.9774,0.0003,0.9999,0.1388,0.9332,0,1,0,1,0.0057,0.9824,0.0016,0.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,1.0,0.0,0.0,0.0,1.0,1.0,2.0
483,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,400,20,400,0,1,0,1,0.1388,0.9332,0,1,0,1,0,1,0,0.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,400,0,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,400,0,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
